Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-12796		[insA1B1AB1 19,811 &larr; 20,508]	G6086 // G6085 // G0-10535	-
TU0-42504	EG11431-MONOMER	[yfeCD 2,518,407 &rarr; 2,519,205]	EG11432 // EG11431	+
TU0-6508		[lacI 366,428 &larr; 367,538]	EG10525	-
TU0-13205		[ycjD 1,351,407 &larr; 1,351,760]	G6641	-
TU0-8624	PD00353	[yjiC 4,555,490 &larr; 4,556,320]	G7922	-
TU0-13678	G7072-MONOMER // EG12386-MONOMER	[yfiL 2,741,360 &rarr; 2,741,725]	EG12446	+
TU00138	CPLX0-7705 // CPLX0-226	[aldB 3,754,906 &larr; 3,756,535]	EG12292	-
TU0-14075		[frvABXR 4,088,107 &larr; 4,092,823]	EG11864 // EG11863 // EG11862 // EG11861	-
TU00524	CPLX0-7797 // CPLX0-226 // PHOSPHO-ARCA // CPLX0-7639 // CPLX0-7748 // G7072-MONOMER	[sdhCDAB-sucABCD-sdhX 754,747 &rarr; 765,150]	G0-17009 // EG10933 // EG10934 // EG10931 // EG10932 // EG10979 // EG10980 // EG10981 // EG10982	+
TU0-14555		[yibA 3,766,307 &rarr; 3,767,179]	EG11187	+
TU0-42479		[rsmG 3,923,057 &larr; 3,923,680]	EG10376	-
TU0-6441	CPLX0-7541 // PD00353	[alaS 2,819,381 &larr; 2,822,090]	EG10034	-
TU0-13182		[purU 1,287,782 &larr; 1,288,754]	EG11819	-
TU0-8607		[yiiU 4,118,515 &rarr; 4,118,760]	EG11878	+
TU0-13659		[yfhR 2,664,390 &rarr; 2,665,244]	G7328	+
TU00122	CPLX0-226 // PD00353	[glgCAP 3,564,082 &larr; 3,569,389]	EG10380 // EG10377 // EG10379	-
TU0-14058		[yihF 4,044,199 &rarr; 4,045,629]	EG11832	+
TU00508		[serW 925,843 &larr; 926,006]	EG30096	-
TU0-14532	G7072-MONOMER	[mreCD 3,398,387 &larr; 3,400,008]	EG10610 // EG10609	-
TU0-42459		[csrA 2,818,961 &larr; 2,819,189]	EG11447	-
TU0-6281	EG12243-MONOMER	[btuB-murI 4,163,399 &rarr; 4,166,285]	EG11204 // EG10126	+
TU0-13165		[TU0-13165 1,219,601 &rarr; 1,222,248]	G6609	+
TU0-8590	G7072-MONOMER	[wecH 3,725,887 &rarr; 3,726,882]	EG12274	+
TU0-13641	CPLX0-226	[narQ 2,585,577 &rarr; 2,587,431]	EG11460	+
TU00106	PHOSPHO-ARCA // CPLX0-226 // PC00027 // G7072-MONOMER	[gltA 753,126 &larr; 754,767]	EG10402	-
TU0-13571	PD04418 // PD00214	[elaB 2,380,722 &larr; 2,381,053]	G7173	-
TU0-14042		[yifL-dapF-yigA-xerC-yigB 3,994,492 &rarr; 3,997,899]	EG11202 // EG11069 // EG11201 // EG10209 // G0-10471	+
TU00492	CPLX0-7705	[lysT-valT-lysW 780,440 &rarr; 780,918]	EG30055 // EG30109 // EG30057	+
TU0-14513	PD00406	[cadA 4,356,470 &larr; 4,358,647]	EG10131	-
TU0-4204		[bamA 197,821 &rarr; 200,360]	G6093	+
TU0-5843		[menBCE 2,373,648 &larr; 2,376,819]	EG12437 // EG11532 // EG11368	-
TU0-13148		[ymfH-xisE-intE 1,199,679 &larr; 1,201,380]	G6586 // G6585 // EG12370	-
TU0-8573	G7619-MONOMER	[yhaJ 3,253,318 &larr; 3,254,214]	G7619	-
TU0-13624	CPLX0-7745	[murR 2,544,752 &larr; 2,545,793]	G7262	-
TU00089	CPLX-123	[glnB 2,687,070 &larr; 2,687,503]	EG10384	-
TU0-13555		[rsuA 2,279,788 &larr; 2,280,483]	EG12044	-
TU0-14025	G7072-MONOMER	[yieH 3,896,774 &rarr; 3,897,439]	EG11725	+
TU00476	PD00353	[ompC 2,311,610 &larr; 2,312,864]	EG10670	-
TU0-14491		[rdgB-yggW 3,096,620 &rarr; 3,098,403]	G7531 // G7530	+
TU0-41793	PHOSPHO-TORR // PD00288	[gadC 1,568,904 &larr; 1,570,489]	G6786	-
TU0-5543	RPON-MONOMER // EG11431-MONOMER	[rpmBG-mutM 3,810,343 &larr; 3,811,995]	EG10329 // EG10891 // EG10886	-
TU0-13130		[grxB 1,123,407 &larr; 1,124,103]	EG12688	-
TU0-8556		[ybaK 506,603 &larr; 507,082]	EG12454	-
TU0-13607	G7072-MONOMER	[torI 2,476,310 &rarr; 2,476,510]	G0-9621	+
TU00073		[alkB 2,308,691 &larr; 2,309,445]	EG10037	-
TU0-13537		[sanA-yeiS 2,232,878 &rarr; 2,233,839]	G7144 // EG12025	+
TU0-14009		[yicL 3,838,248 &rarr; 3,839,171]	EG11688	+
TU00459	CPLX0-7418	[emrRAB 2,810,737 &rarr; 2,814,154]	EG10603 // EG11354 // EG11439	+
TU0-14468		[phoPQ 1,188,316 &larr; 1,190,491]	EG10732 // EG10731	-
TU0-3901	PHOSPHO-OMPR // CPLX0-7705 // PC00027	[sra 1,555,826 &larr; 1,556,046]	EG11508	-
TU0-5186		[rsmA-apaGH 50,380 &larr; 52,588]	EG10048 // EG10047 // EG10523	-
TU0-13114	PD01379 // G7072-MONOMER	[wrbA-yccJ 1,066,864 &larr; 1,067,758]	EG11540 // EG12703	-
TU0-8540		[yadD 146,968 &rarr; 147,870]	EG11748	+
TU0-13590		[rpnB 2,422,649 &larr; 2,423,539]	G7197	-
TU00057	CPLX-123	[purL 2,691,656 &larr; 2,695,589]	EG10797	-
TU0-13518		[mrp 2,192,993 &larr; 2,194,203]	EG10611	-
TU0-13994		[trmL 3,781,215 &rarr; 3,781,688]	EG11888	+
TU00442	G7571-MONOMER // CPLX0-7639 // PHOSPHO-ARCA // CPLX0-226 // EG12243-MONOMER // PHOSPHO-TORR	[rpoS 2,866,559 &larr; 2,868,118]	EG10510	-
TU0-14443	CPLX0-228 // PD00353 // EG12386-MONOMER	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,688 &rarr; 107,474]	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086	+
TU0-36430		[yrbG-kdsDC-lptCAB 3,340,211 &rarr; 3,344,669]	EG11680 // G7665 // G7664 // G7663 // G7662 // EG12802	+
TU0-5		[plsX-fabHDG 1,147,577 &rarr; 1,151,404]	EG11318 // EG11317 // EG10277 // EG11437	+
TU0-13098		[ycbZ 1,016,539 &larr; 1,018,299]	G6493	-
TU0-8522		[chiX 507,204 &rarr; 507,287]	G0-9382	+
TU00041	CPLX0-7796	[metA 4,214,233 &rarr; 4,215,209]	EG10581	+
TU0-13501	G7072-MONOMER	[yegL-pphC 2,151,711 &larr; 2,153,128]	G7112 // G7111	-
TU0-13978		[tag-yiaC 3,713,092 &rarr; 3,714,092]	EG12270 // EG10986	+
TU00425	PC00061 // PC00027 // G7072-MONOMER	[icd 1,194,884 &rarr; 1,196,373]	EG10489	+
TU0-14412	PC00061 // PD00353	[eno 2,906,643 &larr; 2,908,674]	EG10258	-
TU0-36404	G7072-MONOMER	[cbrBC 3,897,506 &rarr; 3,898,609]	EG11727 // EG11726	+
TU0-4822	CPLX0-226 // MONOMER0-1	[csrC 4,051,036 &rarr; 4,051,281]	G0-8874	+
TU0-13080	PD00353	[serS 939,365 &rarr; 940,765]	EG10947	+
TU0-8504		[ribC 1,742,601 &larr; 1,743,242]	EG11406	-
TU00025	PD03028 // CPLX0-2021 // PD00288 // PD00261 // CPLX0-226	[galETKM 787,689 &larr; 792,081]	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-13483		[yeeRST-cbeA-cbtA-yeeW 2,074,779 &rarr; 2,078,134]	G7086 // G7085 // G7084 // G7083 // G7082 // G7081	+
TU0-13957		[prlC-yhiQ 3,642,380 &larr; 3,645,238]	EG11441 // EG12233	-
TU00407	PD00353 // G7072-MONOMER	[ibpAB 3,866,469 &larr; 3,867,518]	EG11535 // EG11534	-
TU0-14394		[ileS-lspA-fkpB-ispH 21,833 &rarr; 27,279]	EG11081 // EG11080 // EG10548 // EG10492	+
TU0-3463		[sdsR-pphA 1,922,313 &larr; 1,923,385]	G0-8883 // G7011	-
TU0-4562	CPLX0-7721 // PHOSPHO-ARCA	[dcuB-fumB 4,345,631 &larr; 4,349,091]	EG10357 // EG10006	-
TU0-13063	G7072-MONOMER	[iaaA-gsiABCD 866,537 &rarr; 872,801]	G6432 // G6431 // G6430 // G6429 // EG12407	+
TU0-8488		[pepE 4,229,453 &larr; 4,230,142]	EG11920	-
TU00009	MONOMER0-163 // CPLX0-7748 // PD00353	[aroG 785,553 &rarr; 786,821]	EG10079	+
TU0-13463		[yedRJ 2,032,384 &larr; 2,033,421]	G7051 // EG12710	-
TU0-13940	G7072-MONOMER	[yhhZ-yrhA-insA6AB6B6 3,581,863 &rarr; 3,584,309]	G7762 // G7761 // G0-10540 // G7760 // G7759	+
TU00391		[otsA 1,980,096 &larr; 1,981,651]	EG11751	-
TU0-14372		[aspU 228,898 &rarr; 229,052]	EG30024	+
TU0-3202	PD00406	[fldB 3,039,773 &rarr; 3,040,376]	EG12697	+
TU0-45275	CPLX0-7705 // PD00288 // MONOMER0-155	[rrsB-gltT-rrlB-rrfB 4,166,224 &rarr; 4,171,962]	EG30071 // EG30078 // EG30032 // EG30085	+
TU0-13046		[ybhB 807,433 &larr; 807,909]	EG11238	-
TU0-45219	MONOMER0-160 // CPLX0-7797 // PD00353	[iraD 4,556,856 &rarr; 4,557,385]	G0-16685 // G7923	+
TU0-8471	PHOSPHO-OMPR // MONOMER0-46 // G7072-MONOMER	[pgaABCD 1,086,106 &larr; 1,092,523]	G6528 // G6529 // G6530 // G6531	-
TU0-921	PD00353	[yceA 1,116,772 &rarr; 1,117,859]	EG11116	+
TU0-13444	PD00353	[argS 1,960,001 &rarr; 1,961,843]	EG10071	+
TU0-13922	CPLX0-7756 // PHOSPHO-OMPR	[tsgA 3,492,519 &rarr; 3,493,749]	EG11262	+
TU00374	CPLX0-7705 // MONOMER0-165 // CPLX0-226	[xylFGHR 3,730,888 &rarr; 3,736,157]	EG20252 // EG12275 // EG12276 // EG20253	+
TU0-14352		[nemA 1,726,659 &rarr; 1,727,756]	G6890	+
TU0-2708		[metJ 4,128,078 &larr; 4,128,466]	EG10588	-
TU0-45259	PD00365 // PD00406	[pqiABC 1,011,623 &rarr; 1,015,459]	G6492 // G6491 // G6490	+
TU0-13030		[ybfD 738,092 &rarr; 738,853]	EG11524	+
TU0-45204	G7072-MONOMER	[pstCAB-phoU 3,906,853 &larr; 3,910,542]	EG10735 // EG10783 // EG10782 // EG10784	-
TU0-8361		[pcnB-folK 157,253 &larr; 159,151]	EG11374 // EG10690	-
TU0-8848		[lit 1,198,695 &rarr; 1,199,588]	EG10535	+
TU0-13428	G7072-MONOMER	[rsmF 1,920,223 &rarr; 1,921,662]	G7008	+
TU0-13903		[yhdP 3,392,458 &larr; 3,396,258]	G7690	-
TU00358	CPLX0-226	[sfsA-dksA 160,149 &larr; 161,515]	EG10230 // EG10949	-
TU0-14332		[rseX 2,033,649 &rarr; 2,033,739]	G0-10574	+
TU0-2501	CPLX0-7705 // PD00353	[topA 1,330,724 &rarr; 1,333,645]	EG11013	+
TU0-45244		[pykF 1,755,663 &rarr; 1,757,110]	EG10804	+
TU0-13012	G7072-MONOMER	[ybeU-djlC 679,508 &rarr; 681,663]	G6356 // G6355	+
TU0-45188	CPLX0-226 // CPLX0-7796 // PD00353	[metK 3,086,516 &rarr; 3,087,860]	EG10589	+
TU0-8341		[rtcR 3,558,238 &rarr; 3,559,866]	EG12356	+
TU0-8832		[insH-10 3,365,702 &larr; 3,366,682]	G7672	-
TU0-13412		[yeaX 1,885,845 &rarr; 1,886,810]	G6989	+
TU0-13887		[murA 3,335,235 &larr; 3,336,494]	EG11358	-
TU00339	EG11431-MONOMER	[rpmBG 3,811,209 &larr; 3,811,995]	EG10891 // EG10886	-
TU0-14313	G7072-MONOMER	[ispDF 2,871,301 &larr; 2,872,490]	EG11816 // G7423	-
TU0-2042	CPLX0-226 // PC00027	[gcd 138,801 &larr; 141,263]	EG10369	-
TU0-12996		[rnk 643,557 &larr; 643,967]	G6337	-
TU0-45172	PD00288 // PD00353 // EG11554-MONOMER // CPLX0-7705	[ssrS 3,055,759 &rarr; 3,056,283]	EG30099	+
TU0-8323		[lolB-ispE-prs 1,260,895 &larr; 1,263,556]	EG10774 // EG11294 // EG11293	-
TU0-8816		[norR 2,830,775 &larr; 2,832,289]	EG12108	-
TU0-13394		[ydjLKJIHG 1,854,991 &larr; 1,861,332]	G6963 // G6962 // G6961 // G6960 // G6959 // G6958	-
TU0-13870	G7072-MONOMER	[tdcR 3,267,380 &rarr; 3,267,598]	EG10992	+
TU00322	PROTEIN-NRIP // PD00353 // PHOSPHO-ARCA // CPLX0-228	[potFGHI 893,736 &rarr; 897,929]	EG11629 // EG11630 // EG11631 // EG11632	+
TU0-14294		[CsiR 2,795,674 &rarr; 2,796,336]	EG12386	+
TU0-1802	EG12344-MONOMER	[pspF 1,366,818 &larr; 1,367,945]	EG12344	-
TU0-12978		[rzoD 578,327 &rarr; 578,509]	G0-10436	+
TU0-45147	G7072-MONOMER	[oppBCDF 1,302,806 &rarr; 1,306,768]	EG10678 // EG10677 // EG10676 // EG10675	+
TU0-8241		[yebC-ruvC 1,946,815 &larr; 1,948,185]	EG10925 // EG11137	-
TU0-13377	PD02198 // G7072-MONOMER	[ydiV 1,791,307 &larr; 1,792,087]	G6925	-
TU0-8804		[gltS 3,827,460 &larr; 3,828,665]	EG10406	-
TU0-13853	EG10442-MONOMER // CPLX0-226 // PHOSPHO-ARCA // PD01520 // EG11088-MONOMER	[fadH 3,231,624 &rarr; 3,233,683]	G36	+
TU00304	MONOMER0-4536 // G7072-MONOMER	[mreBCD 3,398,387 &larr; 3,401,129]	EG10610 // EG10609 // EG10608	-
TU0-14264		[rraA 4,118,845 &larr; 4,119,358]	EG11879	-
TU0-1548	CPLX0-3930	[ycgR 1,243,793 &larr; 1,244,556]	G6623	-
TU0-12960	G7072-MONOMER // EG12386-MONOMER	[rhsD-ybbC-ylbH-ybbD 523,261 &rarr; 529,130]	EG11770 // G6271 // EG11769 // EG10849	+
TU0-44225		[infB 3,313,185 &larr; 3,316,027]	EG10505	-
TU0-8143		[talA-tktB 2,578,570 &rarr; 2,581,639]	EG12100 // EG11797	+
TU0-13361		[ydhR 1,746,700 &rarr; 1,747,005]	G6895	+
TU0-8781		[dacB 3,328,963 &rarr; 3,330,396]	EG10202	+
TU0-13835	PD00406 // PD04418 // PD00365	[mdaB 3,172,530 &rarr; 3,173,111]	EG12656	+
TU00285	CPLX0-228	[hisLGDCBHAFI 2,089,965 &rarr; 2,097,225]	EG11269 // EG10449 // EG10447 // EG10446 // EG10445 // EG10450 // EG10444 // EG10448 // EG10451	+
TU0-14242		[yncJ 1,508,834 &larr; 1,509,064]	G6747	-
TU863	EG12386-MONOMER	[clsA-yciU 1,306,821 &larr; 1,308,673]	G6633 // EG11608	-
TU0-14814		[pgk 3,071,431 &larr; 3,072,648]	EG10703	-
TU0-12940		[pdeB 477,067 &larr; 478,617]	G6252	-
TU0-44209		[nanY 4,505,260 &rarr; 4,506,405]	G7901	+
TU0-7844		[rpsT 20,771 &larr; 21,120]	EG10919	-
TU0-7822	PHOSPHO-PHOP	[ybjG 882,792 &larr; 883,508]	G6439	-
TU0-13341		[ynfM 1,669,672 &rarr; 1,670,952]	G6854	+
TU0-8758	CPLX0-7916 // G7072-MONOMER	[ygiZ 3,171,879 &larr; 3,172,323]	G7577	-
TU0-13816		[yghQ 3,131,341 &larr; 3,132,408]	G7549	-
TU00265	CPLX0-7639 // PD00353	[exbBD 3,150,552 &larr; 3,152,014]	EG10272 // EG10271	-
TU0-14220		[yjjW 4,614,680 &larr; 4,615,543]	G7953	-
TU783	PHOSPHO-HYDG // CPLX0-226 // EG12386-MONOMER	[zraSR 4,201,681 &rarr; 4,204,645]	EG10482 // EG10008	+
TU0-14784	G7072-MONOMER	[htpG 494,817 &rarr; 496,994]	EG10461	+
TU0-12917	PHOSPHO-PHOB // G7072-MONOMER	[sbcDC 412,607 &larr; 416,977]	EG11094 // EG10927	-
TU0-4403		[kch 1,309,016 &larr; 1,310,269]	EG11606	-
TU0-7701	PD00214 // CPLX0-7639 // G7072-MONOMER	[fhuF 4,604,875 &larr; 4,605,694]	G7949	-
TU0-13324		[hokD 1,645,119 &larr; 1,645,274]	EG11130	-
TU0-8741		[yfiE 2,714,439 &larr; 2,715,320]	EG11785	-
TU0-13798	G7072-MONOMER	[ygfI 3,066,277 &larr; 3,067,173]	G7518	-
TU00249	EG12386-MONOMER	[chaBC 1,272,119 &rarr; 1,273,202]	EG12402 // EG12403	+
TU0-14204		[rpnD 4,568,998 &rarr; 4,569,918]	G7934	+
TU67	CPLX-172 // MONOMER0-165 // CPLX0-226	[xylAB 3,727,917 &larr; 3,730,807]	EG11075 // EG11074	-
TU0-14750	CPLX0-7797 // CPLX0-226 // PHOSPHO-NARL // PHOSPHO-DPIA	[citCDEFXG 646,631 &larr; 652,039]	G6339 // G6340 // G6341 // G6342 // G6343 // G6344	-
TU0-12896		[yahL 344,176 &rarr; 344,991]	G6191	+
TU0-42688		[yihUTS 4,070,515 &larr; 4,073,606]	EG11845 // EG11846 // EG11847	-
TU0-7361		[ves 1,824,362 &larr; 1,824,984]	G6938	-
TU0-13306	G7072-MONOMER	[yneK 1,615,763 &rarr; 1,616,878]	G6813	+
TU0-8725		[yegJ 2,151,185 &rarr; 2,151,646]	G7110	+
TU0-13780		[mocA 3,015,160 &rarr; 3,015,738]	G7496	+
TU00233	CPLX0-7418 // EG11741-MONOMER // EG12116-MONOMER // PHOSPHO-PHOP // PD00365 // PD00406 // PD04418	[acrAB 481,254 &larr; 485,698]	EG11703 // EG11704	-
TU0-14186		[insMI3 4,507,466 &larr; 4,508,942]	G0-10567 // G7905	-
TU581	CPLX0-7705 // CPLX0-226 // CPLX0-7797 // CPLX0-8563 // PD00288 // PD00353	[hlyE 1,229,483 &larr; 1,230,466]	G6619	-
TU0-14716	G7072-MONOMER	[sibE 3,195,097 &larr; 3,195,240]	G0-10602	-
TU0-1195		[dnaN-recF 3,880,148 &larr; 3,882,562]	EG10828 // EG10242	-
TU0-12880	G6165-MONOMER	[ecpR 310,746 &larr; 311,393]	G6165	-
TU0-42638	MONOMER0-4147 // PHOSPHO-RCSB // PROTEIN-NRIP // CPLX0-226 // PD00353	[rpoE-rseABC 2,707,322 &larr; 2,710,339]	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-7161	G7072-MONOMER	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]	G0-16662 // EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341	-
TU0-13289		[pqqL 1,572,407 &larr; 1,575,202]	EG11744	-
TU0-8708		[ydgJ 1,703,268 &larr; 1,704,308]	G6868	-
TU0-13763	CPLX0-2781	[ygeH 2,991,879 &rarr; 2,993,470]	G7472	+
TU00216	CPLX0-7705 // PC00027 // PD03576 // CPLX0-226 // CPLX0-7797 // EG12278-MONOMER	[glpTQ 2,349,935 &larr; 2,352,451]	EG10399 // EG10401	-
TU0-14168		[cybC 4,459,488 &rarr; 4,459,855]	EG50008	+
TU503	G7072-MONOMER	[cfa 1,741,379 &rarr; 1,742,561]	EG11531	+
TU0-14687	PD01352 // G6889-MONOMER	[nemRA 1,726,021 &rarr; 1,727,756]	G6890 // G6889	+
TU0-1142	PD01896 // CPLX0-7705	[ptsG 1,157,591 &rarr; 1,159,302]	EG10787	+
TU0-12864		[mmuPM 275,325 &rarr; 277,647]	G6136 // G6135	+
TU0-42599		[ascB 2,840,942 &rarr; 2,842,414]	EG10085	+
TU0-6921		[talA-tktB 2,578,588 &rarr; 2,581,639]	EG12100 // EG11797	+
TU0-13271	G7072-MONOMER	[mnaT-ydcZ 1,517,882 &larr; 1,518,846]	G6759 // G6758	-
TU0-8691	CPLX0-7797	[ychO 1,273,760 &rarr; 1,275,178]	EG12405	+
TU0-13745	CPLX0-3930 // G7072-MONOMER	[ppdAB-ygdB-ppdC-recC 2,959,060 &larr; 2,964,220]	EG12081 // EG11156 // EG11155 // EG11154 // EG10825	-
TU00200	PD00288 // MONOMER0-46	[nhaAR 17,414 &rarr; 19,620]	EG11078 // EG10652	+
TU0-14152		[yjeT 4,404,386 &rarr; 4,404,583]	G7844	+
TU442	EG11088-MONOMER // PHOSPHO-ARCA	[fabDG-acpP 1,149,728 &rarr; 1,151,851]	EG50003 // EG11318 // EG11317	+
TU0-14668	PC00061	[tpiA 4,110,740 &larr; 4,111,569]	EG11015	-
TU0-0		[cysG 3,497,754 &rarr; 3,499,201]	EG10188	+
TU0-12846	EG11088-MONOMER // PHOSPHO-OMPR	[gmhA 243,543 &rarr; 244,121]	G6106	+
TU0-42576		[micL 1,958,441 &larr; 1,958,747]	G0-16601	-
TU0-6661	PC00010	[ruvAB 1,944,219 &larr; 1,946,016]	RUVB // RUVA	-
TU0-13254		[ydcA 1,491,677 &rarr; 1,491,850]	EG11219	+
TU0-8674	G7072-MONOMER	[ycaN 948,660 &larr; 949,568]	G6467	-
TU0-13728	G7072-MONOMER	[ygcNOP 2,892,657 &rarr; 2,894,771]	G7434 // G7433 // G7432	+
TU00184	PD00353 // G7072-MONOMER	[livKHMGF 3,592,724 &larr; 3,597,755]	EG10536 // EG10537 // EG10541 // EG10538 // EG10540	-
TU0-14132		[yjdM 4,326,399 &larr; 4,326,734]	EG10711	-
TU358	PD00288 // G7072-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[cydAB 771,116 &rarr; 774,181]	EG10174 // EG10173	+
TU0-14645		[bepA-yfgD 2,616,026 &rarr; 2,617,937]	G7312 // G7311	+
TU-8417	PD00353	[yhjJ 3,680,444 &larr; 3,682,016]	EG12254	-
TU0-12827	PD00406 // PD04418 // PD00365 // G7072-MONOMER	[map-glnD-dapD 185,123 &larr; 189,506]	EG10570 // EG11411 // EG10207	-
TU0-42548	MONOMER0-2741 // CPLX0-226 // PHOSPHO-PHOB // CPLX0-7756 // G7072-MONOMER	[feaR 1,446,378 &larr; 1,447,309]	G6706	-
TU0-6630	PD00353	[ytjB-lplA 4,623,101 &larr; 4,624,799]	EG11796 // EG10951	-
TU0-13236	G7072-MONOMER	[stfR-tfaR 1,428,796 &rarr; 1,432,986]	G6696 // G6695	+
TU0-8656		[yqhA 3,148,977 &larr; 3,149,471]	G7559	-
TU0-13711	G7072-MONOMER	[ygaM 2,800,121 &rarr; 2,800,475]	G7400	+
TU00168	PD00261 // CPLX0-3930 // PD03028 // CPLX0-226 // EG12386-MONOMER // G7072-MONOMER	[mglBAC 2,236,743 &larr; 2,240,566]	EG10594 // EG10592 // EG10593	-
TU0-14116	EG11356-MONOMER // PD00353	[yjbJ 4,259,237 &rarr; 4,259,446]	EG11928	+
TU3		[trpCBA 1,316,416 &larr; 1,319,944]	EG11024 // EG11025 // EG11026	-
TU0-14625		[acnA 1,335,827 &rarr; 1,338,506]	EG11325	+
TU-8390	EG12105-MONOMER	[infA 926,162 &larr; 926,685]	EG10504	-
TU0-12810		[coaE-zapD-yacG 111,649 &larr; 113,219]	EG12312 // EG12313 // EG12314	-
TU0-42524	G6664-MONOMER	[ycjY-ymjDC-mpaA 1,389,870 &larr; 1,392,072]	G6662 // G0-10446 // G0-10645 // G6663	-
TU0-6556	PD00353	[pepD 254,259 &larr; 255,809]	EG10695	-
TU0-13219		[insH4 1,396,112 &rarr; 1,397,092]	G6667	+
TU0-8639		[ynfC 1,656,747 &larr; 1,657,457]	G6843	-
TU0-13693		[yfjM 2,765,513 &larr; 2,765,776]	G7364	-
TU00152	PHOSPHO-NARL // MONOMER0-183 // CPLX0-7797 // PHOSPHO-NARP	[fdhF 4,297,178 &larr; 4,299,407]	EG10285	-
TU0-14093	G7072-MONOMER	[yijO 4,147,466 &larr; 4,148,317]	EG11913	-
TU162	CPLX0-226 // G7072-MONOMER	[ompR-envZ 3,534,473 &larr; 3,536,639]	EG10269 // EG10672	-
TU0-14606		[lpxC 106,530 &rarr; 107,474]	EG10265	+
TU0-12793		[insL1 15,445 &rarr; 16,557]	G6083	+
TU0-42499	CPLX0-7797 // CPLX0-226 // PD00353 // PHOSPHO-ARCA	[fumAC 1,685,185 &larr; 1,688,440]	EG10358 // EG10356	-
TU0-6505	G7072-MONOMER	[hemN 4,051,943 &rarr; 4,053,418]	EG11836	+
TU0-13200		[lapAB 1,340,135 &rarr; 1,341,727]	EG12691 // G6637	+
TU0-8621		[yjgZ 4,501,260 &rarr; 4,501,589]	G7899	+
TU0-13674	PHOSPHO-ARCA	[kgtP 2,724,448 &larr; 2,725,746]	EG10522	-
TU00135	CPLX0-7650 // CPLX0-226 // G7072-MONOMER	[fucAO 2,931,865 &larr; 2,933,854]	EG10351 // EG10348	-
TU0-14072	G7072-MONOMER	[yiiF 4,079,751 &rarr; 4,080,025]	EG11855	+
TU00521	CPLX0-7705	[leuQPV 4,606,079 &larr; 4,606,432]	EG30051 // EG30047 // EG30048	-
TU0-14551		[tdcBCDEFG 3,258,285 &larr; 3,266,058]	G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990	-
TU0-42475	EG12123-MONOMER // PD00353 // G7072-MONOMER	[leuO 84,154 &rarr; 85,312]	EG10531	+
TU0-6423		[rimL 1,498,743 &rarr; 1,499,477]	EG10853	+
TU0-13179	EG11733-MONOMER	[dauA 1,259,124 &larr; 1,260,803]	EG12392	-
TU0-8603	EG11449-MONOMER	[yifE 3,948,086 &rarr; 3,948,424]	EG11450	+
TU0-13656		[pepB 2,655,075 &larr; 2,656,358]	EG12310	-
TU00119	PC00061 // CPLX0-7705 // CPLX0-226	[crp 3,485,861 &rarr; 3,486,792]	EG10164	+
TU0-14055		[fre 4,026,443 &rarr; 4,027,228]	EG10334	+
TU00505		[glyVXY 4,392,313 &rarr; 4,392,658]	EG30038 // EG30040 // EG30041	+
TU0-14529		[caiCDE 34,781 &larr; 37,854]	EG12608 // EG11557 // EG11558	-
TU0-42456		[csrA 2,818,961 &larr; 2,819,373]	EG11447	-
TU0-6184	PD00339 // PHOSPHO-ARCA	[gcvB 2,942,653 &rarr; 2,942,901]	G0-8867	+
TU0-13162		[ymgC 1,216,748 &rarr; 1,216,996]	G6607	+
TU0-8587		[yhiN 3,636,208 &larr; 3,637,410]	EG12229	-
TU0-13638		[ypfG 2,581,734 &larr; 2,582,777]	G7295	-
TU00103	PC00027 // PHOSPHO-ARCA // CPLX0-7797 // G7072-MONOMER	[sucABCD-sdhX 758,586 &rarr; 765,150]	G0-17009 // EG10979 // EG10980 // EG10981 // EG10982	+
TU0-13568		[yfaZ 2,363,733 &larr; 2,364,275]	G7163	-
TU0-14039	CPLX0-7756 // PD00353 // G7072-MONOMER // CPLX0-8109	[rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM 3,967,800 &rarr; 3,980,696]	EG11458 // EG11457 // G7800 // EG11486 // EG11456 // EG11455 // EG11454 // EG11453 // EG11452 // EG11451 // EG11295 // EG10840	+
TU00489	CPLX0-7705	[aspV 236,837 &rarr; 237,067]	EG30025	+
TU0-14510		[rrfG 2,726,069 &larr; 2,726,218]	EG30075	-
TU0-4192	G7072-MONOMER	[ygiM 3,201,104 &rarr; 3,201,827]	EG12434	+
TU0-5761	PD02198 // PHOSPHO-RCSB // EG12242-MONOMER // EG12243-MONOMER // PD00353	[gadY 3,664,864 &rarr; 3,664,969]	G0-8914	+
